%CaseId,Case Count,CaseNumber,Status,Priority,Priority Rank,Priority Sort,Case Is Closed,Case Aging,Cases Open/Closed,Case Closed Date,Case Created Date,Case Timetable,Case Timetable Rank,Case Record Type,Case Duration Time,Case_Date_Key
ABC112233445567050,1,00042775,Closed,Low,5,3,True,,Closed Cases,12/21/2015,12/9/2015,Over a month old,7,General IT Support,12 00:52,ABC112233445567050|12/9/2015
ABC112233445567059,1,00042806,Closed,Low,5,3,True,,Closed Cases,12/21/2015,12/9/2015,Over a month old,7,General IT Support,11 23:27,ABC112233445567059|12/9/2015
ABC112233445567068,1,00042400,Closed,Low,5,3,True,,Closed Cases,12/7/2015,12/6/2015,Over a month old,7,General IT Support,0 22:40,ABC112233445567068|12/6/2015
ABC112233445567077,1,00042412,Closed,Low,5,3,True,,Closed Cases,12/21/2015,12/6/2015,Over a month old,7,General IT Support,14 17:55,ABC112233445567077|12/6/2015
ABC112233445567086,1,00042843,Closed,High,2,1,True,,Closed Cases,12/15/2015,12/9/2015,Over a month old,7,General IT Support,5 21:20,ABC112233445567086|12/9/2015
ABC112233445567095,1,00042450,Closed,High,2,1,True,,Closed Cases,12/23/2015,12/6/2015,Over a month old,7,General IT Support,16 13:03,ABC112233445567095|12/6/2015
ABC112233445567104,1,00042920,Closed,Medium,3,2,True,,Closed Cases,12/24/2015,12/10/2015,Over a month old,7,General IT Support,14 00:17,ABC112233445567104|12/10/2015
ABC112233445567113,1,00042938,Closed,High,2,1,True,,Closed Cases,12/10/2015,12/10/2015,Over a month old,7,Software Request,0 00:28,ABC112233445567113|12/10/2015
ABC112233445567122,1,00042456,Closed,High,2,1,True,,Closed Cases,12/13/2015,12/7/2015,Over a month old,7,General IT Support,6 06:18,ABC112233445567122|12/7/2015
ABC112233445567131,1,00042467,Closed,Low,5,3,True,,Closed Cases,12/8/2015,12/7/2015,Over a month old,7,General IT Support,1 11:50,ABC112233445567131|12/7/2015
ABC112233445567140,1,00042984,Closed,Low,5,3,True,,Closed Cases,12/22/2015,12/11/2015,Over a month old,7,General IT Support,11 03:27,ABC112233445567140|12/11/2015
ABC112233445567149,1,00042524,Closed,Low,5,3,True,,Closed Cases,12/7/2015,12/7/2015,Over a month old,7,General IT Support,0 03:03,ABC112233445567149|12/7/2015
ABC112233445567158,1,00042572,Closed,Low,5,3,True,,Closed Cases,12/8/2015,12/7/2015,Over a month old,7,General IT Support,1 01:50,ABC112233445567158|12/7/2015
ABC112233445567167,1,00042614,Closed,Low,5,3,True,,Closed Cases,12/8/2015,12/8/2015,Over a month old,7,General IT Support,0 00:00,ABC112233445567167|12/8/2015
ABC112233445567176,1,00042653,Closed,Low,5,3,True,,Closed Cases,12/8/2015,12/8/2015,Over a month old,7,General IT Support,0 00:30,ABC112233445567176|12/8/2015
ABC112233445567185,1,00042666,Closed,Medium,3,2,True,,Closed Cases,1/18/2016,12/8/2015,Over a month old,7,General IT Support,40 22:32,ABC112233445567185|12/8/2015
ABC112233445567194,1,00042677,Closed,Medium,3,2,True,,Closed Cases,12/21/2015,12/8/2015,Over a month old,7,General IT Support,12 19:24,ABC112233445567194|12/8/2015
ABC112233445567203,1,00043003,Closed,Medium,3,2,True,,Closed Cases,12/27/2015,12/13/2015,Over a month old,7,General IT Support,14 03:25,ABC112233445567203|12/13/2015
ABC112233445567212,1,00043069,Closed,Low,5,3,True,,Closed Cases,1/12/2016,12/13/2015,Over a month old,7,General IT Support,29 18:01,ABC112233445567212|12/13/2015
ABC112233445567221,1,00043092,Closed,Medium,3,2,True,,Closed Cases,12/24/2015,12/13/2015,Over a month old,7,Software Request,10 22:57,ABC112233445567221|12/13/2015
ABC112233445567230,1,00043113,Closed,Low,5,3,True,,Closed Cases,12/15/2015,12/13/2015,Over a month old,7,General IT Support,1 17:25,ABC112233445567230|12/13/2015
ABC112233445567239,1,00043159,Closed,Low,5,3,True,,Closed Cases,12/24/2015,12/14/2015,Over a month old,7,General IT Support,10 04:14,ABC112233445567239|12/14/2015
ABC112233445567248,1,00043211,Closed,Medium,3,2,True,,Closed Cases,2/16/2016,12/14/2015,Over a month old,7,New User Request,63 21:34,ABC112233445567248|12/14/2015
ABC112233445567257,1,00043182,Closed,Medium,3,2,True,,Closed Cases,1/3/2016,12/14/2015,Over a month old,7,New User Request,20 01:44,ABC112233445567257|12/14/2015
ABC112233445567266,1,00043193,Closed,Medium,3,2,True,,Closed Cases,1/3/2016,12/14/2015,Over a month old,7,New User Request,19 21:25,ABC112233445567266|12/14/2015
ABC112233445567275,1,00043265,Closed,Low,5,3,True,,Closed Cases,12/15/2015,12/14/2015,Over a month old,7,General IT Support,0 08:44,ABC112233445567275|12/14/2015
ABC112233445567284,1,00043290,Closed,Medium,3,2,True,,Closed Cases,12/31/2015,12/15/2015,Over a month old,7,General IT Support,15 17:38,ABC112233445567284|12/15/2015
ABC112233445567293,1,00043309,Closed,Low,5,3,True,,Closed Cases,12/24/2015,12/15/2015,Over a month old,7,General IT Support,9 02:58,ABC112233445567293|12/15/2015
ABC112233445567302,1,00043322,Closed,High,2,1,True,,Closed Cases,12/17/2015,12/15/2015,Over a month old,7,General IT Support,2 07:22,ABC112233445567302|12/15/2015
ABC112233445567311,1,00043348,Closed,Low,5,3,True,,Closed Cases,12/21/2015,12/15/2015,Over a month old,7,General IT Support,5 14:33,ABC112233445567311|12/15/2015
ABC112233445567320,1,00043461,Closed,Medium,3,2,True,,Closed Cases,12/24/2015,12/16/2015,Over a month old,7,General IT Support,8 01:33,ABC112233445567320|12/16/2015
ABC112233445567329,1,00043610,Closed,Low,5,3,True,,Closed Cases,2/9/2016,12/16/2015,Over a month old,7,General IT Support,54 16:15,ABC112233445567329|12/16/2015
ABC112233445567338,1,00043703,Closed,High,2,1,True,,Closed Cases,1/3/2016,12/16/2015,Over a month old,7,New User Request,17 10:13,ABC112233445567338|12/16/2015
ABC112233445567356,1,00043766,Closed,Medium,3,2,True,,Closed Cases,1/3/2016,12/17/2015,Over a month old,7,New User Request,17 03:21,ABC112233445567356|12/17/2015
ABC112233445567365,1,00043791,Closed,Low,5,3,True,,Closed Cases,1/4/2016,12/17/2015,Over a month old,7,General IT Support,18 02:26,ABC112233445567365|12/17/2015
ABC112233445567374,1,00043843,Closed,Medium,3,2,True,,Closed Cases,12/29/2015,12/20/2015,Over a month old,7,New User Request,9 09:09,ABC112233445567374|12/20/2015
ABC112233445567383,1,00043889,Closed,High,2,1,True,,Closed Cases,12/21/2015,12/20/2015,Over a month old,7,General IT Support,0 19:42,ABC112233445567383|12/20/2015
ABC112233445567401,1,00043960,Closed,Low,5,3,True,,Closed Cases,12/27/2015,12/21/2015,Over a month old,7,General IT Support,5 21:57,ABC112233445567401|12/21/2015
ABC112233445567410,1,00043477,Closed,Low,5,3,True,,Closed Cases,12/17/2015,12/16/2015,Over a month old,7,General IT Support,0 23:37,ABC112233445567410|12/16/2015
ABC112233445567428,1,00044019,Closed,High,2,1,True,,Closed Cases,1/4/2016,12/21/2015,Over a month old,7,General IT Support,14 01:41,ABC112233445567428|12/21/2015
ABC112233445567437,1,00044567,Closed,Low,5,3,True,,Closed Cases,1/20/2016,1/3/2016,Over a month old,7,General IT Support,17 02:54,ABC112233445567437|1/3/2016
ABC112233445567446,1,00044025,Closed,High,2,1,True,,Closed Cases,12/23/2015,12/21/2015,Over a month old,7,General IT Support,2 02:43,ABC112233445567446|12/21/2015
ABC112233445567455,1,00044037,Closed,High,2,1,True,,Closed Cases,1/3/2016,12/22/2015,Over a month old,7,Software Request,12 02:32,ABC112233445567455|12/22/2015
ABC112233445567464,1,00044620,Closed,High,2,1,True,,Closed Cases,1/24/2016,1/4/2016,Over a month old,7,Software Request,20 06:44,ABC112233445567464|1/4/2016
ABC112233445567473,1,00044635,Closed,Low,5,3,True,,Closed Cases,1/27/2016,1/4/2016,Over a month old,7,General IT Support,23 04:14,ABC112233445567473|1/4/2016
ABC112233445567482,1,00044078,Closed,High,2,1,True,,Closed Cases,12/22/2015,12/22/2015,Over a month old,7,Software Request,0 01:19,ABC112233445567482|12/22/2015
ABC112233445567491,1,00044677,Closed,Low,5,3,True,,Closed Cases,1/5/2016,1/4/2016,Over a month old,7,General IT Support,1 01:21,ABC112233445567491|1/4/2016
ABC112233445567500,1,00044651,Closed,Low,5,3,True,,Closed Cases,1/11/2016,1/4/2016,Over a month old,7,General IT Support,7 01:02,ABC112233445567500|1/4/2016
ABC112233445567509,1,00044754,Closed,High,2,1,True,,Closed Cases,1/25/2016,1/4/2016,Over a month old,7,New User Request,20 14:04,ABC112233445567509|1/4/2016
